run,speedup,relative_error
1,1.36862,8.50657e-06
2,1.38484,8.50657e-06
3,1.38678,8.50657e-06
4,1.39127,8.50657e-06
5,1.39181,8.50657e-06
6,1.387,8.50657e-06
7,1.39007,8.50657e-06
8,1.38883,8.50657e-06
9,1.38352,8.50657e-06
10,1.38603,8.50657e-06
11,1.38706,8.50657e-06
12,1.39571,8.50657e-06
13,1.37414,8.50657e-06
14,1.38691,8.50657e-06
15,1.38331,8.50657e-06
16,1.3828,8.50657e-06
17,1.38768,8.50657e-06
18,1.39017,8.50657e-06
19,1.38739,8.50657e-06
20,1.3768,8.50657e-06
21,1.37759,8.50657e-06
22,1.39926,8.50657e-06
23,1.38912,8.50657e-06
24,1.38918,8.50657e-06
25,1.38743,8.50657e-06
26,1.39011,8.50657e-06
27,1.39286,8.50657e-06
28,1.3897,8.50657e-06
29,1.38884,8.50657e-06
30,1.39234,8.50657e-06
31,1.38726,8.50657e-06
32,1.3857,8.50657e-06
33,1.38731,8.50657e-06
34,1.38334,8.50657e-06
35,1.38642,8.50657e-06
36,1.38686,8.50657e-06
37,1.39095,8.50657e-06
38,1.38954,8.50657e-06
39,1.38519,8.50657e-06
40,1.38464,8.50657e-06
41,1.39123,8.50657e-06
42,1.39062,8.50657e-06
43,1.3819,8.50657e-06
44,1.38771,8.50657e-06
45,1.39103,8.50657e-06
46,1.38899,8.50657e-06
47,1.38824,8.50657e-06
48,1.38868,8.50657e-06
49,1.38193,8.50657e-06
50,1.38985,8.50657e-06
51,1.38275,8.50657e-06
52,1.38475,8.50657e-06
53,1.391,8.50657e-06
54,1.39191,8.50657e-06
55,1.37791,8.50657e-06
56,1.3886,8.50657e-06
57,1.39202,8.50657e-06
58,1.38433,8.50657e-06
59,1.39019,8.50657e-06
60,1.39035,8.50657e-06
61,1.38899,8.50657e-06
62,1.39254,8.50657e-06
63,1.3873,8.50657e-06
64,1.39559,8.50657e-06
65,1.3873,8.50657e-06
66,1.38871,8.50657e-06
67,1.38481,8.50657e-06
68,1.38086,8.50657e-06
69,1.38626,8.50657e-06
70,1.38907,8.50657e-06
71,1.39018,8.50657e-06
72,1.38986,8.50657e-06
73,1.38872,8.50657e-06
74,1.38377,8.50657e-06
75,1.38353,8.50657e-06
76,1.38976,8.50657e-06
77,1.39182,8.50657e-06
78,1.3778,8.50657e-06
79,1.39188,8.50657e-06
80,1.38816,8.50657e-06
81,1.38788,8.50657e-06
82,1.38659,8.50657e-06
83,1.3912,8.50657e-06
84,1.38827,8.50657e-06
85,1.38845,8.50657e-06
86,1.39054,8.50657e-06
87,1.38187,8.50657e-06
88,1.39153,8.50657e-06
89,1.38922,8.50657e-06
90,1.38749,8.50657e-06
91,1.38728,8.50657e-06
92,1.38868,8.50657e-06
93,1.39123,8.50657e-06
94,1.39439,8.50657e-06
95,1.38974,8.50657e-06
96,1.39182,8.50657e-06
97,1.38861,8.50657e-06
98,1.38685,8.50657e-06
99,1.38756,8.50657e-06
100,1.38729,8.50657e-06
101,1.38901,8.50657e-06
102,1.38131,8.50657e-06
103,1.38704,8.50657e-06
104,1.38763,8.50657e-06
105,1.39116,8.50657e-06
106,1.39103,8.50657e-06
107,1.38819,8.50657e-06
108,1.38684,8.50657e-06
109,1.38728,8.50657e-06
110,1.38437,8.50657e-06
111,1.39168,8.50657e-06
112,1.3924,8.50657e-06
113,1.39056,8.50657e-06
114,1.38377,8.50657e-06
115,1.38967,8.50657e-06
116,1.38684,8.50657e-06
117,1.39027,8.50657e-06
118,1.38477,8.50657e-06
119,1.38477,8.50657e-06
120,1.38796,8.50657e-06
121,1.38792,8.50657e-06
122,1.39235,8.50657e-06
123,1.39116,8.50657e-06
124,1.38226,8.50657e-06
125,1.39683,8.50657e-06
126,1.39072,8.50657e-06
127,1.38372,8.50657e-06
128,1.39109,8.50657e-06
129,1.3819,8.50657e-06
130,1.39088,8.50657e-06
131,1.39165,8.50657e-06
132,1.38994,8.50657e-06
133,1.39026,8.50657e-06
134,1.38578,8.50657e-06
135,1.39376,8.50657e-06
136,1.3944,8.50657e-06
137,1.39023,8.50657e-06
138,1.38021,8.50657e-06
139,1.38219,8.50657e-06
140,1.3959,8.50657e-06
141,1.39171,8.50657e-06
142,1.38431,8.50657e-06
143,1.38742,8.50657e-06
144,1.3915,8.50657e-06
145,1.389,8.50657e-06
146,1.38708,8.50657e-06
147,1.38229,8.50657e-06
148,1.38463,8.50657e-06
149,1.3948,8.50657e-06
150,1.39049,8.50657e-06
151,1.38718,8.50657e-06
152,1.38857,8.50657e-06
153,1.39248,8.50657e-06
154,1.39148,8.50657e-06
155,1.39071,8.50657e-06
156,1.38205,8.50657e-06
157,1.39551,8.50657e-06
158,1.38175,8.50657e-06
159,1.3858,8.50657e-06
160,1.39044,8.50657e-06
161,1.38951,8.50657e-06
162,1.38822,8.50657e-06
163,1.39298,8.50657e-06
164,1.38642,8.50657e-06
165,1.39073,8.50657e-06
166,1.3839,8.50657e-06
167,1.38962,8.50657e-06
168,1.38658,8.50657e-06
169,1.3807,8.50657e-06
170,1.38617,8.50657e-06
171,1.38697,8.50657e-06
172,1.3932,8.50657e-06
173,1.39107,8.50657e-06
174,1.3887,8.50657e-06
175,1.37132,8.50657e-06
176,1.38935,8.50657e-06
177,1.39082,8.50657e-06
178,1.38441,8.50657e-06
179,1.38884,8.50657e-06
180,1.38725,8.50657e-06
181,1.38667,8.50657e-06
182,1.39257,8.50657e-06
183,1.39099,8.50657e-06
184,1.38847,8.50657e-06
185,1.38647,8.50657e-06
186,1.39087,8.50657e-06
187,1.38853,8.50657e-06
188,1.38703,8.50657e-06
189,1.39047,8.50657e-06
190,1.3913,8.50657e-06
191,1.38862,8.50657e-06
192,1.38912,8.50657e-06
193,1.3871,8.50657e-06
194,1.38863,8.50657e-06
195,1.38947,8.50657e-06
196,1.37661,8.50657e-06
197,1.38866,8.50657e-06
198,1.38755,8.50657e-06
199,1.38926,8.50657e-06
200,1.3888,8.50657e-06
201,1.3958,8.50657e-06
202,1.38521,8.50657e-06
203,1.39021,8.50657e-06
204,1.38306,8.50657e-06
205,1.39014,8.50657e-06
206,1.38378,8.50657e-06
207,1.39297,8.50657e-06
208,1.39019,8.50657e-06
209,1.39158,8.50657e-06
210,1.39291,8.50657e-06
211,1.39341,8.50657e-06
212,1.39032,8.50657e-06
213,1.3873,8.50657e-06
214,1.39311,8.50657e-06
215,1.39223,8.50657e-06
